metabolite_name	Control3	AD6	AD7	Control9	AD2	Control2	AD8	Control10	AD11	Control11	AD10	AD1	Control7	AD3	Control8	AD5	Control6	Control4
ATP	59556.51	18687.84	19158.52	50295.18	34273.96	21444.10	26798.46	22374.09	20177.93	22285.50	17442.28	32097.01	54000.33	42263.11	18896.62	39311.86	0.00	14554.62
ADP	82086.42	27846.73	28432.51	59012.47	38992.34	30072.14	41382.93	33043.39	32238.75	30056.68	27463.56	50443.96	67121.56	66437.50	32334.74	50329.53	31437.41	21840.08
AMP	253645.90	304189.90	178722.40	115957.80	333374.10	239354.00	277057.20	221398.70	273857.80	180782.90	311207.80	115257.40	257794.40	214680.70	172992.90	135494.60	184086.20	450611.70
Adenine	381920.40	269054.70	191388.00	425102.50	301405.20	207871.90	274558.00	156210.20	183403.60	189941.40	230046.50	281626.00	369052.50	321753.70	224376.50	292993.90	219042.30	210182.40
GMP	521777.00	335690.60	454361.10	124582.40	618254.40	421731.90	479990.30	272040.90	565554.10	448933.30	283859.30	250304.50	387804.00	472106.20	398378.60	241195.30	382896.70	163495.30
Guanosine	279479.40	199421.90	209380.30	138886.20	353496.60	273677.00	281918.10	1941036.00	601805.90	319527.80	83376.06	210125.90	1003619.00	219712.50	333539.70	170483.00	289092.10	17086.66
Guanine	202030.10	36133.14	136201.30	44055.43	352976.20	190904.80	227435.00	726390.70	410850.20	201955.20	73558.01	146717.60	478205.20	223739.90	203449.20	342500.00	320973.00	14690.96
CDP	104934.70	147061.60	39398.39	53491.54	21406.45	81303.62	40002.61	102940.70	46679.49	51118.94	187980.80	48186.66	167957.10	37088.89	59497.23	38589.72	24630.52	42768.23
CMP	137229.80	104319.30	80477.70	75236.27	279313.30	181890.20	135573.60	1067264.00	345782.60	81610.59	64455.61	153529.90	678986.50	108003.00	142852.50	34710.42	164651.60	39924.50
Cytidine	381906.00	69978.19	259090.10	48314.66	278188.30	163986.20	334439.60	338216.30	329830.30	358424.30	167508.20	143332.20	231987.80	269790.80	193654.80	126812.70	240674.50	81957.20
UDP	101606.50	340736.20	22141.47	122650.00	97873.81	60063.89	72398.99	30985.73	9176.07	20550.27	234276.10	31096.86	30097.15	20701.39	17251.13	11623.10	7005.03	200799.20
UMP	901279.60	790365.00	850533.40	303979.90	1213435.00	911698.00	892858.80	1153786.00	1040520.00	774441.70	480745.70	723353.80	1507855.00	767729.50	1004544.00	310451.40	630027.60	196248.90
Uracil	204580.50	67687.35	194386.90	56718.45	489376.10	113316.90	609629.70	437779.00	1251850.00	419220.80	63391.56	43188.68	191048.20	457797.50	217974.20	542062.20	443590.00	40302.16
